x0,y0,z0
27,44,1021
27,46,1020
28,45,1020
28,45,1021
28,46,1020
29,45,1021
28,44,1021
27,44,1021
28,45,1020
29,44,1020
27,44,1023
27,45,1021
27,45,1020
28,44,1020
28,44,1020
27,43,1021
28,42,1020
29,43,1022
28,44,1020
27,45,1021
29,45,1021
27,45,1022
28,46,1020
30,45,1020
28,43,1021
28,44,1020
29,44,1022
27,43,1021
28,45,1021
28,44,1020
28,45,1020
29,46,1021
28,45,1020
27,44,1020
28,43,1021
27,45,1021
27,45,1021
28,44,1021
28,44,1021
28,44,1022
28,43,1020
28,44,1021
27,44,1022
27,44,1022
27,45,1021
28,45,1022
27,45,1021
28,44,1021
28,43,1021
29,45,1021
28,43,1022
30,46,1021
28,44,1021
29,46,1022
28,45,1023
28,43,1020
27,44,1021
29,45,1021
27,45,1020
27,44,1020
28,44,1020
29,46,1024
28,43,1021
28,45,1022
28,42,1021
31,44,1020
26,43,1022
26,45,1023
30,47,1021
28,48,1019
26,47,1021
29,46,1022
31,44,1020
27,43,1020
27,45,1021
29,45,1020
29,46,1019
27,47,1020
27,46,1020
29,45,1021
29,47,1021
29,45,1020
28,45,1021
27,46,1021
29,45,1021
29,46,1022
27,46,1023
28,45,1021
29,45,1019
30,45,1021
28,45,1021
30,46,1021
28,45,1019
28,45,1020
26,42,1017
31,47,1024
31,45,1021
29,44,1020
29,43,1022
29,44,1021
29,45,1019
28,45,1020
28,46,1021
28,45,1021
29,44,1020
27,44,1018
29,45,1020
28,43,1020
27,43,1022
28,43,1021
29,45,1020
28,45,1020
28,46,1020
27,46,1021
29,45,1021
27,44,1020
28,43,1021
28,42,1020
28,43,1022
28,43,1022
27,45,1020
28,46,1020
27,46,1023
29,45,1020
27,45,1020
28,43,1021
28,43,1022
27,44,1021
28,45,1021
27,44,1020
27,44,1021
27,43,1019
29,44,1021
28,44,1022
27,44,1020
28,44,1022
28,43,1021
28,44,1020
27,44,1021
28,44,1022
28,43,1021
27,43,1020
27,43,1020
28,43,1021
27,43,1020
27,43,1021
27,45,1021
27,44,1021
28,45,1021
27,44,1020
27,44,1022
27,43,1021
27,43,1022
28,44,1020
27,43,1020
27,43,1020
27,46,1021
27,45,1024
28,44,1021
28,43,1019
29,43,1022
28,44,1022
28,43,1020
28,42,1022
28,42,1021
29,44,1020
28,44,1021
27,45,1022
28,44,1021
28,45,1021
28,44,1021
27,43,1019
28,43,1020
28,44,1020
27,42,1020
27,43,1022
27,51,1027
-26,38,1021
67,65,1037
41,82,1060
27,43,1040
29,37,1046
27,85,1101
38,-3,1049
76,-99,1013
22,-164,969
-71,-106,969
6,-112,998
-28,-105,986
12,-279,956
44,-367,937
97,-275,974
103,-218,1011
12,-311,964
52,-307,938
30,-378,909
22,-404,897
16,-409,906
10,-394,895
8,-468,853
79,-545,795
42,-540,824
30,-569,812
51,-625,731
58,-741,632
-56,-740,628
4,-661,697
34,-676,683
20,-721,621
28,-741,595
27,-734,595
28,-761,547
27,-791,497
91,-772,476
51,-818,375
13,-889,220
-24,-884,76
47,-911,156
5,-1045,318
61,-928,192
31,-943,-77
6,-947,-35
81,-951,-25
-25,-966,-54
3,-942,-52
33,-949,-117
6,-939,-136
21,-939,-4
26,-949,24
29,-944,35
38,-946,61
36,-950,20
21,-941,-18
26,-944,-28
41,-944,-29
22,-948,-31
-22,-959,-82
18,-877,-6
255,-801,47
14,-858,371
12,-869,203
14,-902,170
35,-959,74
1,-928,144
60,-942,81
81,-963,27
73,-962,95
46,-963,-10
45,-955,70
51,-954,103
49,-927,63
37,-930,87
58,-922,167
41,-951,110
41,-937,77
28,-935,40
48,-940,112
47,-952,54
41,-940,103
57,-952,51
50,-950,67
38,-933,93
46,-941,81
42,-944,76
64,-945,66
42,-943,73
49,-938,83
52,-942,72
54,-951,57
47,-943,67
52,-946,62
44,-942,74
33,-945,52
58,-946,64
57,-943,72
59,-946,81
52,-943,41
54,-950,84
48,-941,75
50,-939,46
45,-941,82
53,-947,73
48,-946,85
50,-945,72
41,-936,85
46,-943,78
47,-944,76
49,-945,79
50,-945,75
48,-944,78
44,-944,81
42,-942,83
42,-940,88
39,-935,95
45,-943,88
44,-946,84
42,-942,89
46,-945,87
42,-940,94
40,-940,97
43,-943,93
43,-943,95
40,-941,97
40,-941,103
38,-937,108
41,-941,104
35,-934,115
37,-939,110
36,-938,114
37,-939,110
41,-940,105
39,-941,105
37,-941,104
40,-942,99
42,-944,93
43,-944,95
41,-944,95
42,-942,98
39,-942,102
39,-941,104
35,-938,110
37,-943,105
40,-942,107
39,-942,110
39,-943,107
37,-941,112
36,-942,113
32,-938,120
33,-940,121
32,-939,123
29,-932,132
31,-937,129
31,-938,128
31,-935,132
31,-939,130
30,-937,133
29,-936,140
26,-931,147
19,-932,145
30,-931,151
30,-933,147
27,-935,144
30,-939,139
28,-936,141
28,-936,138
28,-938,137
28,-936,139
28,-937,142
27,-937,143
27,-935,145
27,-936,143
27,-937,143
28,-937,143
27,-935,149
21,-931,152
30,-932,155
27,-935,149
26,-934,150
27,-936,146
27,-937,148
26,-934,151
25,-931,155
25,-934,153
26,-934,151
